source,model,storage,lock_status,price,condition,url,timestamp
ebay,iphone 13,128GB,unlocked,258.0,Pre-Owned,https://www.ebay.com/itm/115970747049?_skw=iPhone+13&epid=11049276145&hash=item1b00652aa9:g:Bg4AAOSwTBtlTRxT&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ea3%2F6M2rHDDjVzaSS6pSS0vpmfte233s0e6GbUC6tUcBa%2FtKqsx%2FTFIhKOAbrzWoDP5c0yYOwUupbKRQVvIuLCwcSKJ6aHEzwBon4WojBVVS5gjimM%2F0gBLYetEtE0%2B7RGGjChuUkqFVLIHfFU7%2BD%2BTOnEHmheAldn48rf89xIvRbIVdJFr2Y2PhErj%2FkUr5mdgSXVDnAA8i4ukAcI%2B2G%2Fvrx7cGExwAmFzpnFMLVPKw%3D%3D%7Ctkp%3ABk9SR8Ch1tjqZQ,2025-06-09 12:34:09.339832
ebay,iphone 13 pro,256GB,unlocked,400.95,Excellent - Refurbished,https://www.ebay.com/itm/386146593917?_skw=iPhone+13&epid=2320328612&hash=item59e8216c7d:g:V7EAAOSwbhFjLLxB&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dAWpYDxgYFpHnEBfFeJRkLLc9j0s1xbRBgY4HHnY94jKw1V%2BwXhw5TLQtnUdHqTebgPBVnBgWr7WNNzDAviXrRJrSySqCZ3NV5yccL%2FBAIP521vBsXdDA9idrr3ug0IyTBtJkkEL%2FDQwm%2BBNJfjwVVu7VW7LBhvsXQrbpomL5JP1v%2F1omLmvXX17jMaOex5DmttHvS5hFSvmga3kE47TdXfFQdTxzRrH8fAhb4KdUBcA%3D%3D%7Ctkp%3ABk9SR8Kh1tjqZQ,2025-06-09 12:34:09.340838
ebay,iphone 13,256GB,unlocked,309.48,Excellent - Refurbished,https://www.ebay.com/itm/127104418736?_skw=iPhone+13&epid=2320328674&hash=item1d980383b0:g:UQQAAOSwj2VoH7CE&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ev0KcGYd%2BErigsmN5b%2FZC1e4vM65uImI9x9nLpSB3dniCpEks8s03oR5rbiaaachMder7WpMcsLh9wgKl5iAb9DNWiY%2FIQ4mB6iEooGm5cI50LTEsX3%2BNNr1gdzjRACK50%2BEgGAclYO3nm8SK7CnLd2icDrZzAc90JgnwvzOL%2FC4M9uelidVN4ReCSlGkzT0U8eeHRCwF7YW9SOrp8rt7QfUgV9w5xTV7EwfLxooToMl6eodz3cAb6K3wf8f9cqmbruhZZRiM1ZBruXyu5GFNb%7Ctkp%3ABk9SR8Ki1tjqZQ,2025-06-09 12:34:09.340838
ebay,iphone 13,128GB,unlocked,285.0,Pre-Owned,https://www.ebay.com/itm/365658659318?_skw=iPhone+13&epid=11049276145&hash=item5522f459f6:g:fvUAAOSwOLNoRcSl&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cYgXc2XdwgGZYdKoh%2FrpBmu4IReFE1zMM1%2BV0nKpaiaLuOgluPRLaHbGKdodNt4quq99KyoFDMeadC0Gq9NMJuZUDB2lnGiuBfBH2q%2FtzwSC57RIPwtZ%2BDSnOeMPb%2BNjwfWbv4hC4lW%2BQ443VsXi0ds3fBsRpL5iA8ofzHkGNGyiUjopDzZoB5PGlVtNFXjm8AGTP09S6euR1jj%2BCb%2FswR3TMaw9ef%2B7kS2vVEonbr2A%3D%3D%7Ctkp%3ABk9SR8Ki1tjqZQ,2025-06-09 12:34:09.342035
ebay,iphone 13,256GB,unlocked,302.95,Very Good - Refurbished,https://www.ebay.com/itm/385780950444?_skw=iPhone+13&epid=19049287637&hash=item59d25625ac:g:L38AAOSwjZ5kNFYd&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fqmGQT7yhuuG1REmaeCpakj9guehp7KnCvffLvyo5Bt203UUb%2BIdEAjkeCXzm3Cze59no%2BGZg7mBIwXxiczzkrm7kFap5f%2BPJI%2BcD02zhWyLNIFeVxFjGH2u1AUFJlqkIl%2BZKH0ynZGODzmhao3X1PCFdRs0iOU9BTAE5a2qNPkp9L2OugpRdWBNRob%2FHgXOgOet0c9UeBT4HaYHfemkp9Si5KuJbtqgLwRkGUXNy4Kg%3D%3D%7Ctkp%3ABk9SR8Si1tjqZQ,2025-06-09 12:34:09.342035
ebay,iphone 13,128GB,unlocked,285.99,Very Good - Refurbished,https://www.ebay.com/itm/226523060489?_skw=iPhone+13&epid=11049276145&hash=item34bdd39909:g:uVoAAOSwNx1lxQnL&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cspnp09sb%2BfiY59RWtIAKWutGoOsBnSf2zDuC%2Bg6pBWH%2FrwK9MtLT2N%2FLE5nsJ%2BBZIToqn%2FFE91sxXOXe1ixhRWXVfpX%2B6RxY9cyzuq%2F2ZG0Bv2uAXwEQx6owGUlbDCff7d3AaqI%2BClCd%2FO%2BP86iQDecY2VEYXVOc7F5TUXs8WzvFhbfIPR%2B3kxOBoKX%2FLothmZF9gJ4t603brRBk9H6uPLUg8kS05qoyVxcGvYpV%2BhpVF4CtvULVVKz9%2F9HDjLp2sW7CAi5NmubUE7iC8oayO%7Ctkp%3ABk9SR8ai1tjqZQ,2025-06-09 12:34:09.343171
ebay,iphone 13 mini,128GB,unlocked,334.99,Brand New,https://www.ebay.com/itm/306216414602?_skw=iPhone+13&epid=5049289969&hash=item474bebad8a:g:CmwAAOSwtGdmXwkk:sc:ShippingMethodStandard!46256!US!-1&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d0ff%2B3Zhbg61IVa7MXP1r88GrbLHQM%2FOqPW%2BKV4ZMEb%2BXrOBUmjkQSVpwk%2BuqNYWltNUDe0ihJQbGwu182CWvaZitJh3WT0UtaO6R5EYbfLvtVVbm1WkXryhGwfCD8vpgxBBMp6CY6ejC9DAHM2J2awB1uJcJXmLYgrt3mohD91doNU%2BJvXRmwPukmJ0XNduN6uPz4nrf5S5QQ4BucV%2B3WhpGnll1qjnWfk5OwAW1KWDPJqXLxjgIC2%2FIWSZ61OeY%2F4nqMJsa6ucF7XhMvGJCa%7Ctkp%3ABk9SR8ai1tjqZQ,2025-06-09 12:34:09.343171
ebay,iphone 13 pro max,128GB,unlocked,474.97,Excellent - Refurbished,https://www.ebay.com/itm/354393373290?_skw=iPhone+13&epid=25064991467&hash=item52837dba6a:g:h0wAAOSwbgxjcrWD&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dYE0OXZXOSxOn3ShGmnCVGpUrgOxSlyXRozzt8TTzHh7a%2FAj%2F%2BHC66yNZOxv2Rt4R%2FSAt617y8%2BYOh9RiYSgLU9B0FzKTb433fETfeEk6iYzy6TMDKb1Lcxqi37klEFl8LV5QUOyCCwftHeYrAzH1Jnzucb4PCq56wQ2vmr83sz1EczAHQmUm1gk%2BAHSdSi5kyDFu0vMyg2OqijJIRUTYm147iPmrSKWT0KNmGZhspaQ%3D%3D%7Ctkp%3ABlBMUMii1tjqZQ,2025-06-09 12:34:09.344410
ebay,iphone 13 pro,128GB,unlocked,393.47,Excellent - Refurbished,https://www.ebay.com/itm/356348416328?_skw=iPhone+13&epid=8072579682&hash=item52f8055148:g:DUEAAOSw1pdnU4Mq&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fYcVWF7RzIBzaCIXrUBipN51JYeEJ2Qd%2FRrsE%2BRWlnn9Bk8ZOkaHkL1VtQMCKsthUvsnQoLzJnk04Ni1EQzJxN0bc5u52CH7LzsQhx%2BCSBkwglXZ4wE5h7kYuK5nq4BtlIBeY7zTg4jkeYVIT1EdgK2QJCIyQ9H25GYPvfX4ItEZNnKdPUYBQwSHp82J3Dy%2B379lnKYU7BDlto9bVZN3e38xFQ4PS1Il6fuL%2F4DWt31w%3D%3D%7Ctkp%3ABlBMUMqi1tjqZQ,2025-06-09 12:34:09.345619
ebay,iphone 13,128GB,unlocked,254.0,Pre-Owned,https://www.ebay.com/itm/235414341617?_skw=iPhone+13&epid=11049276145&hash=item36cfc9c7f1:g:IZ8AAOSwPidlaNV8&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dN5IB53ln5sOLE1bkgxgKBqbUR1IfvQsO311oHDyACF3jU%2FabQ0kBt2%2BbrqHeQX7KSK9yvyAVI24IiEQFYHoMAoYIzE3a9cpcNX2vGn0LNFayl6HgYMcRICgegc%2F8iHnx%2BGoOvAKjTb9tAXora6RzQ9y70rd5hZbhZE72S6iXJjbH%2BnJVldC43NHXFrdgOXuKICJwqB1wFrwHjUYM7zAVk%2FAB%2BUsiPIn2zC8HV251ptQ%3D%3D%7Ctkp%3ABk9SR8qi1tjqZQ,2025-06-09 12:34:09.345619
